File_Path,File_Name,Artist,Source,Label,Group_ID,Artist_Group,Text_Prompt
data\DALL-E/art\Henri_Matisse_124.jpg,Henri_Matisse_124.jpg,,DALL-E,1,Henri_Matisse_124,Henri Matisse,"Henri Matisse, Art, Blue vase, red candle, table, 1918–1939 interwar, mix of painting and ceramics, light magenta, dark indigo, Shang dynasty, expressionistic anthropology, interior scenes, 1860–1969, flowers, melting pots, tapestry, wall hanging, light indigo, magenta, fauvist figuratism, dark violet, light azure, domestic interiors, elegant subjects, three pieces of clothing, fauvist still lifes, dark blue, interior scenes.
"
data\REAL\art_5400\Vincent_van_Gogh_223.jpg,Vincent_van_Gogh_223.jpg,Vincent van Gogh,REAL,0,Vincent_van_Gogh_223,nan,"Vincent van Gogh, Art, White sketch, chairs, benches, windows, old masters, whiplash lines, soggy, soft-edged, high tonal range, Danube school, minimalist sets, pencil drawing, dining room, tables, emotional gestural marks, black and white drawing, spot metering, empty space, end table, Venetian school, monochromatic white figures, rough, solarpunk"
data\REAL\art_5400\Diego_Velazquez_38.jpg,Diego_Velazquez_38.jpg,Diego Velazquez,REAL,0,Diego_Velazquez_38,nan,"Diego Velazquez, Art, Portrait of San Martino, 1570-1622, detailed attention to costume and fashion, dark black and brown, contrasting colors, transavanguardia, man dressed in black, rich colors, baroque ornate details, detailed costumes, rich and tonal, Renaissance chiaroscuro, dark brown and dark beige, bold color combinations, grandiose color schemes, elegant clothing, old man standing in black outfit with hat, grandiose color schemes, representational, fashionable opulence."
data\REAL\art_5400\Amedeo_Modigliani_29.jpg,Amedeo_Modigliani_29.jpg,Amedeo Modigliani,REAL,0,Amedeo_Modigliani_29,nan,"Amedeo Modigliani, Art, Portrait of a young man, ritualistic masks, olive face, blue tie, red background, melancholic symbolism, 1900-1917, 1000-1400 ce, expressionistic anthropology, modernist sensibilities, Berlin Secession, exaggerated facial features, distinct facial features, masculine, Picasso, early medieval art, Bengal school of art."
data\Midjourney/art\Rembrandt_50.jpg,Rembrandt_50.jpg,,Midjourney,1,Rembrandt_50,Rembrandt,"Rembrandt, Art, Man riding horse, dark silver and yellow, light bronze and gray, portrait, grandiose environments, vignetting, grid, mist, anthropomorphic animals, light gray and light amber, 17th century, Barbizon School, master of the spray paint, Die Brücke, The New Fauves"
data\REAL\art_5400\Alfred_Sisley_246.jpg,Alfred_Sisley_246.jpg,Alfred Sisley,REAL,0,Alfred_Sisley_246,nan,"Alfred Sisley, Art, Seine river at night, light violet and gray tones, rural landscapes, energetic impasto, gallery wrapped canvas, Charles-Francois Daubigny inspired, low resolution, landscape style, sky-blue tones, calm waters, trompe-l'œil, impressionist landscapes, impressive panoramas, mottled texture, happenings, grass in the middle of a street"
data\REAL\art_5400\Eugene_Delacroix_16.jpg,Eugene_Delacroix_16.jpg,Eugene Delacroix,REAL,0,Eugene_Delacroix_16,nan,"Eugene Delacroix, Art, Liberty raising French flag, apocalyptic, dark bronze and navy, chiaroscuro portraitures, majestic figures, spontaneous gesture, aestheticized violence, iconic imagery, feminist sensibility, war scenes, irony, apocalypse art, idealized figures, poetcore, action paintings, strong contrast, crowd, 20 megapixels"
data\REAL\art_5400\Pieter_Bruegel_35.jpg,Pieter_Bruegel_35.jpg,Pieter Bruegel,REAL,0,Pieter_Bruegel_35,nan,"Pieter Bruegel, Art, Landscape, group of creatures and animals, Renaissance-inspired, playfully intricate, playful caricature, goblin academia, depictions of labor, drawing, small animals and people in a village, high Renaissance, dusty piles, whimsical grotesque, enigmatic automatism, meticulous inking, the garden of the four seasons, lithograph, sculptural grotesqueries, unprimed canvas, arabesque/scroll, portrait of a woman and a tree, grotesque figures, blown-off-roof perspective, playful chaos, detailed hunting scenes, medievalist, groundcore."
data\REAL\art_5400\Rembrandt_116.jpg,Rembrandt_116.jpg,Rembrandt,REAL,0,Rembrandt_116,nan,"Rembrandt, Art, Dutch Golden Age, old couple, piece of mail, pen, layered gestures, working-class empathy, mathematical intricacy, older woman writing a letter, spontaneous gestures, patience of a saint, calculated, progressive academia, elderly people, money, 'bom' de houttuin, black paintings, studyplace, plasticien, old man and woman in front of the door, painting and writing tools, highly polished surfaces, lightbox"
data\DALL-E/art\Amedeo_Modigliani_2.jpg,Amedeo_Modigliani_2.jpg,,DALL-E,1,Amedeo_Modigliani_2,Amedeo Modigliani,"Amedeo Modigliani, Art, Man in front of window, light azure and crimson, detail-oriented, distinctive characters, 1900-1917, portrait, man reading, textural richness, confessional, sharp attention to detail, man wearing hat, reading newspaper, light red and dark cyan, mosaic-like, Frank Emily portrait, 1926, urban expressionism, dark red and light azure, meticulous detail, datamosh, richly detailed genre paintings."
data\Midjourney/art\Jan_van_Eyck_71.jpg,Jan_van_Eyck_71.jpg,,Midjourney,1,Jan_van_Eyck_71,Jan van Eyck,"Jan van Eyck, Art, Portrait of a man, Renaissance-inspired, linear outlines, slumped/draped, cross-hatching, spiritual figures, hurufiyya, jagged edges, large-scale brushstrokes, old man in white gown, raw, confrontational figures, man in hat, grotesque figures, patience of a saint, San Andre, strong diagonals, manuscript, 'leccs' group founder, detailed."
data\REAL\art_5400\Amedeo_Modigliani_63.jpg,Amedeo_Modigliani_63.jpg,Amedeo Modigliani,REAL,0,Amedeo_Modigliani_63,nan,"Amedeo Modigliani, Art, Tree, old building, grove of trees, coastal views, faded palates, strong diagonals, seaside vistas, light brown, sky-blue, vernacular architecture, landscape mastery, luminous shadowing, Mediterranean landscapes, monolithic structures, light indigo, street scene."
data\REAL\art_5400\Andrei_Rublev_9.jpg,Andrei_Rublev_9.jpg,Andrei Rublev,REAL,0,Andrei_Rublev_9,nan,"Andrei Rublev, Art, Person, the lord in king's side, Russian folklore, early Russian icons, distressed surfaces, intense gaze, distinctive noses, dark yellow, light bronze, detail-oriented, painted depiction, stenciled iconography, precise detailing, meticulous detailing, angel holding someone, pulled, scraped, scratched, close-up intensity, dark gold, light brown, confessional, early medieval art, bearded figure, dramatic, somber religious works, gold, light blue, strip painting, textural detail, mediated view."
data\REAL\art_5400\Gustav_Klimt_107.jpg,Gustav_Klimt_107.jpg,Gustav Klimt,REAL,0,Gustav_Klimt_107,nan,"Gustav Klimt, Art, Drawing of a man, Barbizon school, realist fine details, soft-focused realism, pictorialist, American works on paper 1880–1950, neo-academism, Bloomsbury group, old man, captivating figures, captivating portraits, man with long hair, meticulous detail, light yellow and light bronze, realistic graphite drawings, noble figures, man in a blue shirt, charcoal drawing, light yellow and light crimson, baroque compositions."
data\Midjourney/art\Francisco_Goya_123.jpg,Francisco_Goya_123.jpg,,Midjourney,1,Francisco_Goya_123,Francisco Goya,"Francisco Goya, Art, Story of a woman reading her own book of ghosts, three women talking with devilish reflections, girl in ornate dress with angel, two women sitting on chairs, rococo style, socialist realism, Quito school, transavanguardia, skeletal, zany humor, blink-and-you-miss-it detail, children's book illustrations, trompe-l'œil illusionistic detail, romantic academia, horror academia, happenings, bibliopunk, American romanticism, ritualistic masks, Spanish enlightenment, 1860–1969 era."
data\REAL\art_5400\Mikhail_Vrubel_66.jpg,Mikhail_Vrubel_66.jpg,Mikhail Vrubel,REAL,0,Mikhail_Vrubel_66,nan,"Mikhail Vrubel, Art, 1900–1917, watercolor painting, white iris, large-scale figuration, abstract figuration, light beige, light gold, dark white, light gray, gray, watercolor-like washes, fragmented figuration, presentation of human form, exquisite clothing detail, crumpled, contrasting light, unprimed canvas, angura kei."
data\REAL\art_5400\Gustave_Courbet_16.jpg,Gustave_Courbet_16.jpg,Gustave Courbet,REAL,0,Gustave_Courbet_16,nan,"Gustave Courbet, Art, Male with a pipe, dark cyan, green, dark emerald, light brown, deconstructive, dreamy portraits, violent, neo-romanticism, rough edges, serene faces, Unilalianism, Caravaggesque, dark green, orange, romanticized realism, dreamy romanticism, distinctive noses, strong facial expression, color field painting, brooding mood, sky-blue, preparing pipe for smoking, tall man, rough edges, serene faces."
data\REAL\art_5400\Frida_Kahlo_52.jpg,Frida_Kahlo_52.jpg,Frida Kahlo,REAL,0,Frida_Kahlo_52,nan,"Frida Kahlo, Art, Frida Kahlo's face, confessional, official art, San Francisco Renaissance, exquisite clothing detail, massurrealism, 20th century art, elaborate detailing, dark pink, light bronze, emphasis on facial expression, acrobatic self-portraits, ornate detailing, woman's life, exaggerated facial features, symmetrical asymmetry, white, bronze, inlay"
data\REAL\art_5400\Rembrandt_205.jpg,Rembrandt_205.jpg,Rembrandt,REAL,0,Rembrandt_205,nan,"Rembrandt, Art, Inauguration in church, 1640, oil painting, audience in church, dark palette chiaroscuro, dark amber and bronze, systematic art, sandalpunk, hurufiyya, die brücke, opacity and translucency, people in center of large room, biblical drama, meticulous design, dutch and flemish, Jewish culture themes, dark bronze and magenta, young people on stage, biblical grandeur, restrained color palette, irreverent, chiaroscuro contrast."
data\REAL\art_5400\Joan_Miro_57.jpg,Joan_Miro_57.jpg,Joan Miro,REAL,0,Joan_Miro_57,nan,"Joan Miro, Art, Lullaby, orange and maroon, light white and dark orange, fanciful creatures, unpredictable mark-making, red and yellow airplane hanging upside down, whimsical imaginative creatures, dark orange and light beige, negative spaces, desertwave, trompe-l'œil illusionistic detail, animated shapes, storybook illustrations, abstract painting with two people and a banana, dark orange and light beige, playful and whimsical depictions of animals, pictorial space, animated shapes, whirring contrivances, storybook illustration, whimsical animation, dark orange and light amber, hopi art, gentle whimsy, curvilinear, birds-eye-view."
data\StarryAI/art\Frida_Kahlo_85.png,Frida_Kahlo_85.png,,StarryAI,1,Frida_Kahlo_85,Frida Kahlo,"Frida Kahlo, Art, Self-portrait, man with monkeys, animals and people, social media portraiture, art deco, pensive portraiture, stylized portraiture, close-up, masculine, expressionistic anthropology, oil painting, book cover, Mesoamerican influences, characterful animal portraits, celebrity portraits, golden age aesthetics, socialist realism."
data\REAL\art_5400\Frida_Kahlo_15.jpg,Frida_Kahlo_15.jpg,Frida Kahlo,REAL,0,Frida_Kahlo_15,nan,"Frida Kahlo, Art, Frida and the Heart, bold figuration, art historical allusions, celebrating birthday, surrealist anatomy, dark sky-blue and yellow, strong facial expression, made of vines, acrobatic self-portraits, art deco sensibilities, realist detail, surrealist symbolism, self-portrait, fine attention to anatomy, metaphysical narratives, woman with a heart in her hands, dark azure and yellow."
data\Dreamstudio/art\Vincent_van_Gogh_407.jpg,Vincent_van_Gogh_407.jpg,,DreamStudio,1,Vincent_van_Gogh_407,Vincent van Gogh,"Vincent van Gogh, Art, Man in yellow shirt, 1690, 1862, self-portraits, 1900-1917, light crimson and emerald, post-impressionist, teethcore, nouveau réalisme, painting of a man in yellow attire, green, 1860-1969, strong facial expression, electric color, grandiose color schemes, pictorial, man in yellow jacket on green, distinct facial features, electric color, gorpcore, portrait of man sitting in yellow outfit, light crimson and green, working-class empathy, picassoesque, exaggerated facial features."
data\REAL\art_5400\Alfred_Sisley_160.jpg,Alfred_Sisley_160.jpg,Alfred Sisley,REAL,0,Alfred_Sisley_160,nan,"Alfred Sisley, Art, Boats, water, houses, lake, river, buildings, cottages, town, transportcore, industrial landscapes, light gray, bronze, black, marine scenes, Dutch landscapes, depictions of labor, enamel, vignetting"
data\DALL-E/art\Rene_Magritte_68.jpg,Rene_Magritte_68.jpg,,DALL-E,1,Rene_Magritte_68,Rene Magritte,"Rene Magritte, Art, Drawing of a man and a lion standing next to a table, surrealistic portraiture, mesmerizing optical illusions, haunting portraiture, realistic depiction of light, man and lion in a house, illusory realism, gothic surrealism, mysterious realism, etched still lifes, life-size figures, unsettling atmosphere, grey academia, realistic figures, poignant symbolism, old man with a lion, nature morte, suburban gothic, strong sense of light."
data\DALL-E/art\Michelangelo_30.jpg,Michelangelo_30.jpg,,DALL-E,1,Michelangelo_30,Michelangelo,"Michelangelo, Art, Colorful painting, man attacking another man, fresco painting, close-up intensity, Christian art and architecture, high-angle, light yellow, dark green, hard-edged, early 14th century, Sistine chapel, jubilation of Sistine, dark yellow, dark aquamarine, realistic anamorphic art, textural detail, stylized violence, mosaic of Jesus' triumph, martyrdom in Rome, frequent use of yellow, flowing draperies, chalk, ceiling of St Peter's basilica, Venetian ceiling, realist detail, dignified poses, medievalist, acrobatic self-portraits, figura serpentinata."
data\REAL\art_5400\Salvador_Dali_22.jpg,Salvador_Dali_22.jpg,Salvador Dali,REAL,0,Salvador_Dali_22,nan,"Salvador Dali, Art, Old painting, child feeding on red worm with bite mark, album covers, mist, 1900-1917, slide film, macabre illustrations, drip painting, realist detail, Halloween, little man's mouth, color photography, delicate ink washes, surrealistic distortions, embroidery, cranberrycore, vandalizing publicity, fluid and organic, baby bit by snake, distinctive noses, zombiecore, dye-transfer, child holding bug-covered beak, associated press photo."
data\REAL\art_5400\Sandro_Botticelli_103.jpg,Sandro_Botticelli_103.jpg,Sandro Botticelli,REAL,0,Sandro_Botticelli_103,nan,"Sandro Botticelli, Art, Men in several dresses standing near open doors, Botticelli-esque figures, aestheticized violence, white and red, confessional, frequent use of diagonals, light gold and green, painting of many people dressed up awaiting the arrival of a king, slumped/draped, graceful balance, person of Rome, graceful restraint, orderly arrangements, narrative paneling, lively movement, white and red."
data\REAL\art_5400\Pablo_Picasso_122.jpg,Pablo_Picasso_122.jpg,Pablo Picasso,REAL,0,Pablo_Picasso_122,nan,"Pablo Picasso, Art, Girl's face, dark azure and beige, striped composition, mirrored, strong facial expression, painting of a young woman, lips, asymmetry, woman holding cell phone, luminous shadowing, narrative diptychs, stripes and shapes, dark sky-blue, light gray, light yellow, dark silver, light beige."
data\REAL\art_5400\Paul_Gauguin_260.jpg,Paul_Gauguin_260.jpg,Paul Gauguin,REAL,0,Paul_Gauguin_260,nan,"Paul Gauguin, Art, Painting, white woman, holding fan, white and bronze, figurative subjects, portrait, beautiful girl, light white, light bronze, contemporary figuration, symmetrical asymmetry, light brown, dark blue, biedermeier, reduced palette, solapunk, girl on a chair, umbrella, maori art, chiaroscuro portraitures."
data\Midjourney/art\Andy_Warhol_30.jpg,Andy_Warhol_30.jpg,,Midjourney,1,Andy_Warhol_30,Andy Warhol,"Andy Warhol, Art, Row of bottles, wall backdrop, dark crimson, silver, dark brown, coded patterns, distorted exaggerated figures, algorithmic artistry, poster, American prints 1880-1950, early computer art, quadratura, museum, perceptual illusions, silver, maroon."
data\Midjourney/art\Pierre-Auguste_Renoir_251.jpg,Pierre-Auguste_Renoir_251.jpg,,Midjourney,1,Pierre-Auguste_Renoir_251,Pierre-Auguste Renoir,"Pierre-Auguste Renoir, Art, Young girl, red hair, bow, white, beige, lifelike, dark white, light brown, portrait, blue ribbons, light crimson, historical reproductions, distinctive noses, harmonious coloration, oshare kei, late impressionism, light orange, dark orange, strong facial expression, light gray, child-like innocence."
data\REAL\art_5400\Kazimir_Malevich_59.jpg,Kazimir_Malevich_59.jpg,Kazimir Malevich,REAL,0,Kazimir_Malevich_59,nan,"Kazimir Malevich, Art, Black and white painting, small square with three lines, staining, dark silver, violet, pattern-based, aerial view, white wall, 1900–1917, textured pigment planes, flat color areas, puzzle-like pieces, subtle paleness, quadratura, dark purple, dark brown, stains/washes, precision painting, art print, pointillist technique with small brush marks, subtle chromatism, positive and negative spaces"
data\REAL\art_5400\Marc_Chagall_1.jpg,Marc_Chagall_1.jpg,Marc Chagall,REAL,0,Marc_Chagall_1,nan,"Marc Chagall, Art, Woman on a chair, knitting needle, prehistoric art, frayed, dark orange and green, tightly cropped compositions, Jewish life scenes, oil painting, holding a book, fauvist animator, disfigured forms, Maori art, light green, woman in green, terracotta, depictions of labor, gentle expressions, pattern-based painting, old lady sitting at table reading, polychrome terracotta, ultrafine detail, intaglio."
data\Dreamstudio/art\Mikhail_Vrubel_64.jpg,Mikhail_Vrubel_64.jpg,,DreamStudio,1,Mikhail_Vrubel_64,Mikhail Vrubel,"Mikhail Vrubel, Art, Drawing of woman statue holding reins for angel and man, mosaic-inspired realism, utopian vision, work on paper, detailed drapery, indigo, crimson, light gray, bronze, fragmented figuration; female figure with wings, depictions of aristocracy, utopian vision; drawing with woman and two monkeys, utopian vision, light violet, light bronze, marble, pencil sketch, light red, detailed drapery, mosaic composition; portrait of man and woman, mythological symbolism, detailed sketching, allegorical composition."
data\DALL-E/art\Edgar_Degas_325.jpg,Edgar_Degas_325.jpg,,DALL-E,1,Edgar_Degas_325,Edgar Degas,"Edgar Degas, Art, Dancer with wavy hair, fan, light violet and yellow, chalk, dark orange and yellow, pastel-colored scenes, grainy, ballet academia, storybook-like, dancing ballerinas, yellow and purple, pastel-colored scenes, ballerina at hall, yellow and purple, clamp, trompe-l'œil illusionistic detail, dark cyan and orange, incoherents, dancing with a fan at the theatre, yellow and purple, clamp, trompe-l'œil illusionistic detail, hand-coloring, flamboyant, chalk"
data\REAL\art_5400\Marc_Chagall_166.jpg,Marc_Chagall_166.jpg,Marc Chagall,REAL,0,Marc_Chagall_166,nan,"Marc Chagall, Art, Flowers, window, blue sky, chairs, dark violet, light indigo, luminous shadows, Berlin Secession, lively tableaus, vibrant figuration, table, light & shadow play, pictorial fabrics, fresh flowers, light and shadow interplay, study place, green vase, Fauvist animator, tapestries, luminous scenes, grandiose environments"
data\REAL\art_5400\Diego_Velazquez_4.jpg,Diego_Velazquez_4.jpg,Diego Velazquez,REAL,0,Diego_Velazquez_4,nan,"Diego Velazquez, Art, Portrait painting, young woman with palette and brush, woman holding an easel, dark orange, dark beige, dark yellow, light red, dark gray, antique subjects, self-portraits, quadratura, oil portraitures, transavanguardia, attention to detail, caravaggesque chiaroscuro, painting and writing tools, saturated palette, spot metering, li-core, lightbox."
data\Dreamstudio/art\Francisco_Goya_218.jpg,Francisco_Goya_218.jpg,,DreamStudio,1,Francisco_Goya_218,Francisco Goya,"Francisco Goya, Art, Man in uniform, Biedermeier, fawncore, dark gold, navy, monumental vistas, kingcore, dignified poses, light red, light navy, patriotic, historical significance, uniformly staged images, emphasis on contrast, grandiose portraits, strong facial expression, elaborate, iconic, hard-edged painting, schooner commander, Kushan empire, the new fauves, spiky mounds, danube school, imposing monumentality, chiaroscuro."
data\Dreamstudio/art\Alfred_Sisley_254.jpg,Alfred_Sisley_254.jpg,,DreamStudio,1,Alfred_Sisley_254,Alfred Sisley,"Alfred Sisley, Art, Boats at shore, houses, rural life depiction, impressionist landscapes, palette knife, chromatic landscape, cottagepunk, oil painting, riverfront scene, beach, high resolution, unprimed canvas, light sky-blue and green, strip painting, en plein air beach scenes, light violet and cyan, post-painterly"
data\REAL\art_5400\Pierre-Auguste_Renoir_276.jpg,Pierre-Auguste_Renoir_276.jpg,Pierre-Auguste Renoir,REAL,0,Pierre-Auguste_Renoir_276,nan,"Pierre-Auguste Renoir, Art, Impressionist lightness, intricate weaving, high-keyed palette, light white and light orange, soft shading, young boy on lap, taking a lesson, gossamer fabrics, knitted and crocheted, ultrafine detail, young man wearing a shirt, light and color, delicate precision, early 20th century, young girl standing with flowers, depictions of labor, softly luminous, hand-coloring, madonna and child."
data\Midjourney/art\Edgar_Degas_217.jpg,Edgar_Degas_217.jpg,,Midjourney,1,Edgar_Degas_217,Edgar Degas,"Edgar Degas, Art, Neo-Victorian, dark white, Helsinki school, dappled, Whistlerian, Mingei, silence, bedroom scene, haunting images, depiction of everyday life, contrast of scale, reclining man and woman, atmospheric impressionism, Victorian-era clothing, light black and bronze, domesticity"
data\Midjourney/art\Paul_Gauguin_129.jpg,Paul_Gauguin_129.jpg,,Midjourney,1,Paul_Gauguin_129,Paul Gauguin,"Paul Gauguin, Art, Grove, trees, bridge, light cyan, green, Australian landscape, stage-like environments, striped painting, installation-based, landscape inspirations, landscapes and gardens, 1890-1927, light aquamarine, strong diagonals, emphasis on linear perspective, 1860–1969, cottagepunk, high resolution, impressionist-landscapes, rural landscapes, the Follia garden, gestural lines, light azure, die brücke, landscape-focused"
data\Dreamstudio/art\Hieronymus_Bosch_120.jpg,Hieronymus_Bosch_120.jpg,,DreamStudio,1,Hieronymus_Bosch_120,Hieronymus Bosch,"Hieronymus Bosch, Art, Apparition of Christ and angels, Dutch landscapes, trompe-l'œil illusionistic detail, orange and black, dark gold and crimson, busy landscapes, museum gallery dioramas, German Expressionism, Gothic Surrealism, landscape-focused, Pre-Raphaelite Realism, birth and death themes, apocalypse landscape, altarpiece, light amber and black, landscapes with social commentary, Dutch Realism, early medieval art, black paintings, meticulous detail."
data\DALL-E/art\Raphael_29.jpg,Raphael_29.jpg,,DALL-E,1,Raphael_29,Raphael,"Raphael, Art, Angel with two swords, slaying giant, apocalypse landscape, political commentary, uniformly staged images, oil on panel, academic painting, dark emerald, dark beige, light brown, satirical illustrations, bird's-eye-view, surrounded by demons and creatures, miscellaneous academia, transavanguardia, aerial view, ironic, angel threatening dragon, angel with lion, Spanish enlightenment, chaotic academia."
data\Midjourney/art\Amedeo_Modigliani_21.jpg,Amedeo_Modigliani_21.jpg,,Midjourney,1,Amedeo_Modigliani_21,Amedeo Modigliani,"Amedeo Modigliani, Art, Woman sitting, rug, bed, blanket, curvaceous simplicity, iconic works of art history, bulbous, bold curves, dark white, dark orange, light orange, 1920s, parodies and pastiches, vignetting, poolcore, Japanese prints, animated exuberance, feminine curves."
data\DALL-E/art\Edgar_Degas_693.jpg,Edgar_Degas_693.jpg,,DALL-E,1,Edgar_Degas_693,Edgar Degas,"Edgar Degas, Art, Ballet girls, sketch-like, dark white and light brown, loose forms, stylish costume design, chalk, red, subtle coloring, two drawings of dancers, light gray, nostalgic post-impressionism, schoolgirl lifestyle, 1860-1969 era, pensive stillness, ultrafine detail, ballerinas in ballet attire, three sketches of dancers showing faces"
data\REAL\art_5400\Titian_129.jpg,Titian_129.jpg,Titian,REAL,0,Titian_129,nan,"Titian, Art, Artwork of god with angel falling in water, baroque animals, crimson and amber, lively seascapes, figura serpentinata, fresco, timeless mythology, oil painting, angel and two cats floating, apocalypse landscape, mural painting, depiction of animals, 500–1000 CE, man on mount, angels and birds, water and land fusion, allegorical, animal intensity, dynamic and action-packed scenes, prehistoricore, swirling vortexes, Catalan Odyssey, colorful turbulence, Hudson River School, manticore, high resolution."
data\REAL\art_5400\Pablo_Picasso_83.jpg,Pablo_Picasso_83.jpg,Pablo Picasso,REAL,0,Pablo_Picasso_83,nan,"Pablo Picasso, Art, Lady with sails, light orange, sky-blue, robotic expressionism, light yellow, dark gray, seaside vistas, princesscore, tropical symbolism, aristocracy depictions, white woman, boat, 1950s, punctured canvas, dark yellow, nautical charm, self-portrait, woman with ship, idealized figures, Frenchy, juxtaposed figures, painting of woman holding sailboat, light silver, jarring figuratives."
data\Dreamstudio/art\Vasiliy_Kandinskiy_22.jpg,Vasiliy_Kandinskiy_22.jpg,,DreamStudio,1,Vasiliy_Kandinskiy_22,Vasiliy Kandinskiy,"Vasiliy Kandinskiy, Art, Abstract painting, bird, various insects, folkloric themes, exotic tapestries, ornate embroidery, undulating lines, light red, dark gray, crimson, imaginative creatures, Viennese Secession, unprimed canvas, Ndebele-inspired motifs, Soviet avant-garde, 1918-1939 interwar, robotic motifs, fanciful figures, light beige, colorful"
